#;Groupe;Scenario;Action;Attendu;Statut;Constate le 2026-08-07
17;Projet;Abandon;Fermer le dialog avant conversion;hub_form_abandon / AUCUN hub_form_submission;OK;last_step_name=email / last_step_index=4 / aucune conversion
18;Projet;Erreur technique;Simuler une reponse 500;hub_form_error http_status=500 / AUCUNE conversion;NON TESTE;la soumission simulee n'a pas atteint send() - a rejouer manuellement
19;Guide;Portes d'entree;Ouvrir le dialog depuis les 4 emplacements;hub_entry_point correct pour chacune;OK;banner_guide / cta_final / bloc_thematique / popup_scroll - 4/4
20;Guide;Ouverture = ecran e-mail;Ouvrir le dialog guide;1 x hub_form_view et AUCUN hub_form_email_view;OK;conforme sur les 4 portes
21;Guide;Conversion guide;Completer le parcours guide;hub_form_submission / hub_group=guide / id_page_hub=1000 (id de l'URL depuis le 2026-08-25);A REJOUER;valide le 2026-08-07 quand le guide envoyait encore 2000
22;Guide;Erreur technique;Simuler une 500 pendant le parcours guide;hub_form_error avec hub_group=guide;NON TESTE;meme limite que #18
23;Guide;Abandon aux coordonnees;Fermer le dialog guide en cours;hub_form_abandon last_step_name=coordinates;NON TESTE;le dialog guide ne se ferme pas dans l'onglet automatise (clic et Echap non traites)
24;Guide;Raccourci deja converti;Cookie hub_lead contenant l'id de CETTE page puis clic CTA guide;hub_guide_shortcut + hub_guide_download / AUCUNE conversion / AUCUN appel API;OK;hub_guide_shortcut + hub_guide_download hub_lead_path=deja_converti - 0 appel API - 0 hub_form_submission
25;Guide;Pas de conversion fantome;Rejouer 24 trois fois;3 x hub_guide_download et TOUJOURS 0 conversion;PARTIEL;0 conversion sur les 3 passages (le point critique est OK). 1 seul hub_guide_download car le dialog ne s'est pas ferme entre les passages - a reconfirmer manuellement
26;Guide;Telechargement auto puis manuel;Ecran de remerciement puis clic sur le lien;download_trigger=auto puis manual;OK;les deux emis avec le bon hub_group
27;Guide;Pop-up une fois par onglet;Scroller puis recharger;1 seul hub_guide_popup_view par onglet;A TESTER MANUELLEMENT;necessite un scroll reel
28;Guide;Pop-up nouvel onglet;Rouvrir l'URL dans un nouvel onglet;hub_guide_popup_view se declenche A NOUVEAU;A TESTER MANUELLEMENT;necessite un scroll reel
29;Transverse;Separation des tunnels;Les 2 parcours dans la meme session;2 x hub_form_submission / meme session_id / MEME id_page_hub / hub_group projet puis guide;A REJOUER;les deux tunnels partagent l'id depuis le 2026-08-25 - c'est hub_group (GA4) et l'absence de reponses (BO) qui les separent
30;Transverse;Groupe sur tous les events;Inspecter chaque push;hub_group present sur 100% des evenements;OK;100% - idem hub_page_uri
31;Transverse;Evenement supprime;Inspecter tout le parcours;AUCUN hub_form_coordinates_view;OK;absent
32;Transverse;Non-contamination;Parcours HUB complet;AUCUN evenement du vocabulaire devis;OK;aucun quote_form_funnel / quote_funnel_validation / Popup_Appel_Offre / eec.add
33;Transverse;Absence de PII;Inspecter tous les pushes;aucune donnee personnelle;OK;aucune cle interdite - aucune valeur saisie retrouvee - ancien champ "result" absent
34;Transverse;Maillage;Cliquer un lien "Lire l'article";hub_article_click avec article_id et source_block;OK;article_id=5297 / source_block=budget-financement / hub_group=engagement
35;Transverse;Multi-pages;Rejouer sur les pages 1001 et 1002;memes evenements avec hub_page_id et hub_page_uri differents;BLOQUE;les pages 1001 et 1002 n'existent pas encore
36;Transverse;Nommage GA4;Inspecter le tag dans DebugView;le parametre s'appelle product_category5 et non product.category5;A TESTER MANUELLEMENT;necessite GTM publie - le mapping est fait dans le tag importe
